relative_path	category	size_bytes	sha256
datasets/case45_l0_l5/case45_p0_20260708T1015Z/reports/provenance_report.md	dataset	89	52fb9ffb58a0b0d5e89a03b61e166b4560e1f574052e7f76a25cefc848730df0
datasets/case45_l0_l5/case45_p0_20260708T1015Z/reports/quality_check.md	dataset	89	52fb9ffb58a0b0d5e89a03b61e166b4560e1f574052e7f76a25cefc848730df0
datasets/case45_l0_l5/case45_p0_20260708T1015Z/results/stage3_4_manifest_json_repair.json	dataset	4428	cd67297e328a9e450b5c74702e234e9d629a15a17fa07938f52f6ada4b445373
datasets/case45_l0_l5/case45_p0_20260708T1015Z/results/stage3_4_manifest_json_repair.md	dataset	103	59b719c7ef01a6d9a7e4bc0c422d3e424c8a1a90bbf8b47fdf75a3164f862959
datasets/case45_l0_l5/case45_p0_20260708T1015Z/schema.json	dataset	1822	77ea8bc1ced7a94de3ca1b7253ff3e04f4e63e88fd5db6daf3468b1cc5890b7d
datasets/case45_l0_l5/case45_p0_20260708T1015Z/schema.json.bak	dataset	1064	86ace11f72f9fc2369c6f986849310480be618374ecefbd7b3bed535d3ef911a
datasets/case45_l0_l5/case45_p0_20260708T1015Z/tables/l0_perturbation.json	dataset	7267	4fe92a7e9919e38f3c1950cacb0bd197b4937cfef407ef1215269099273edaaf
datasets/case45_l0_l5/case45_p0_20260708T1015Z/tables/l1_uniprot.json	dataset	3236	962f50771027257581c1a480df6036aacc63e52b76fb93d2cbfa9ab2dc133e44
datasets/case45_l0_l5/case45_p0_20260708T1015Z/tables/l2_reactome.json	dataset	7369	6b0374a0ac8b587653ed3694cab47d79de93644c73edc0bdcf0881038356c963
datasets/case45_l0_l5/case45_p0_20260708T1015Z/tables/l3_guide_rna_response.json	dataset	125882	e99502a13461bf0f7c51fc908001b00eea53f0e59f89a590c3232ac4e720805f
datasets/case45_l0_l5/case45_p0_20260708T1015Z/tables/l3_rna_summary.json	dataset	613	ea96d483d1849239b31ca6dc020d75a85b3d537c31566f6d997d98d9cb8942e7
datasets/case45_l0_l5/case45_p0_20260708T1015Z/tables/l4_adt_summary.json	dataset	31755	7546e744ccbc79940aa3ad9d22c2d69cb4b6827cf63e100a9dab980b42deb279
datasets/case45_l0_l5/case45_p0_20260708T1015Z/tables/l5_depmap.json	dataset	4673	270b2ebbf7f6af29b42149236fb6b5b7335cc8997aba26497b2304fb48ebbcf1
figures/source_coverage.png	figure	35242	02a4f5785f1bf65308419d8b4313d4f119609f4216d14b9217a064e9a2ce83d3
reports/provenance_report.md	report	2699	998076abd1da88bf383aea4dc33a9de6d22a71a0cf60f262b7f29aaae058601e
reports/quality_check.md	report	1209	f2bb57708f313614b874a04cb699816c42556724bc4b7ceb5fb2217d3b69a7aa
results/alignment_audit.tsv	result	1696	dcfe3c948a9e27eea7c9d11e86956de0f9dd0e04add9cafb939674d763d6b780
results/case45_repair_rerun_guide.md	result	2298	e0ec9806881e51183ad3e7415ffe130a8518ac46cb31391c1f0c70c76363e249
results/compute_l3_guide_rna_response_from_raw_cdna_optimized.json	result	5437	bcc64d7cbee8a0feda6af059c46147d96cc6195bdea71cf9bae6b59ae6a8628b
results/compute_l3_guide_rna_response_from_raw_cdna_optimized.md	result	1920	0103134a6d407ff64c1dcc68829bd8bfb1e3811e9161165356e552be89dffce4
results/demo_manifest.tsv	result	2124	272f8ff3e101cca8626bb02f1f478ed62753a01cb2fcdd7d5e0b91dac061fc97
results/execution_events.jsonl	result	4896	0d19fb5fe3474d29247ec24beb792abd30ff46431f56e2291bf390c82bf10945
results/execution_trace.md	result	4696	f02c2271c8c4313a8a57c65abb92315ea8e331a2034a9da043617bfdd7456384
results/explore_structure.json	result	6017	1bac4bd189a89381acfe6e9354223bf0acb9d02c72349032d04bacb3fbdbebb3
results/l3_measured_final_validation.json	result	1490	77b7d567f4b5452f2c4defbfb62ec97cf90cd458482cfe88e99b324752737bac
